	Course	Section	Faculty	Time	Room	Seats Available	
['119.', 'ARC200', '4', 'SnF', 'R', '02:40', 'PM', '-', '04:10', 'PM', 'LIB906', '0']
['120.', 'ARC213', '1', 'AKd1', 'STWR', '09:10', 'AM', '-', '11:20', 'AM', 'LIB905', '0']
['121.', 'ARC213', '2', 'SdS1', 'STWR', '09:10', 'AM', '-', '11:20', 'AM', 'LIB905_V', '0']
['122.', 'ARC214', '1', 'HUR', 'STWR', '09:10', 'AM', '-', '11:20', 'AM', 'LIB904_V', '0']
['123.', 'ARC214', '2', 'Rqh', 'STWR', '09:10', 'AM', '-', '11:20', 'AM', 'LIB904_V', '0']
['124.', 'ARC215', '1', 'SnF', 'STR', '09:10', 'AM', '-', '11:20', 'AM', 'OAT903', '1']
['125.', 'ARC241', '1', 'SqR', 'ST', '01:50', 'PM', '-', '02:50', 'PM', 'SAC801A', '0']
['126.', 'ARC241', '2', 'SqR', 'ST', '03:00', 'PM', '-', '04:00', 'PM', 'OAT901', '14']
['127.', 'ARC242', '1', 'SIK3', 'ST', '01:50', 'PM', '-', '02:50', 'PM', 'NAC604', '1']
['128.', 'ARC251', '1', 'IsH', 'ST', '12:40', 'PM', '-', '01:40', 'PM', 'OAT901', '7']
['129.', 'ARC261', '1', 'Siu', 'ST', '12:40', 'PM', '-', '01:40', 'PM', 'SAC801A', '1']
['130.', 'ARC261', '2', 'Mfn', 'ST', '01:50', 'PM', '-', '02:50', 'PM', 'SAC207', '11']
['131.', 'ARC262', '1', 'Siu', 'MW', '12:40', 'PM', '-', '01:40', 'PM', 'SAC802', '9']
['132.', 'ARC263', '1', 'Mfn', 'ST', '12:40', 'PM', '-', '01:40', 'PM', 'LIB908', '0']
['133.', 'ARC264', '1', 'HUR', 'M', '09:10', 'AM', '-', '11:20', 'AM', 'LIB908', '0']
['134.', 'ARC271', '1', 'AKd1', 'MW', '08:00', 'AM', '-', '09:00', 'AM', 'LIB907', '0']
['135.', 'ARC272', '1', 'Mun', 'MW', '01:50', 'PM', '-', '02:50', 'PM', 'LIB907', '1']
['136.', 'ARC273', '1', 'SIK3', 'M', '09:10', 'AM', '-', '11:20', 'AM', 'LIB1002', '0']
['137.', 'ARC281', '2', 'TvM', 'W', '03:00', 'PM', '-', '04:00', 'PM', 'LIB907', '0']
['138.', 'ARC282', '1', 'Mfq', 'S', '04:10', 'PM', '-', '05:10', 'PM', 'LIB908', '6']
['139.', 'ARC283', '1', 'TvM', 'M', '03:00', 'PM', '-', '04:00', 'PM', 'LIB907', '2']
['140.', 'ARC293', '2', 'ASAA', 'ST', '03:00', 'PM', '-', '04:00', 'PM', 'LIB906', '0']
['141.', 'ARC293', '3', 'ALB', 'ST', '03:00', 'PM', '-', '04:00', 'PM', 'LIB906_V', '0']
['142.', 'ARC310', '1', 'MTm2', 'MW', '12:40', 'PM', '-', '02:50', 'PM', 'LIB904', '0']
['143.', 'ARC310', '2', 'SnF', 'MW', '12:40', 'PM', '-', '02:50', 'PM', 'LIB904_V2', '7']
['144.', 'ARC316', '1', 'Siu', 'STR', '09:10', 'AM', '-', '11:20', 'AM', 'LIB902_V', '0']
['145.', 'ARC316', '2', 'AHs1', 'STR', '09:10', 'AM', '-', '11:20', 'AM', 'LIB902_V', '1']
['146.', 'ARC317', '1', 'MTU', 'STWR', '09:10', 'AM', '-', '11:20', 'AM', 'OAT902', '1']
['147.', 'ARC318', '1', 'Mun', 'STWR', '09:10', 'AM', '-', '11:20', 'AM', 'LIB910', '0']
['148.', 'ARC318', '2', 'SqR', 'STWR', '09:10', 'AM', '-', '11:20', 'AM', 'LIB910_V', '0']
['149.', 'ARC324', '1', 'HUR', 'ST', '12:40', 'PM', '-', '02:50', 'PM', 'LIB904', '2']
['150.', 'ARC324', '2', 'MTm2', 'ST', '12:40', 'PM', '-', '02:50', 'PM', 'LIB904', '0']
['151.', 'ARC334', '1', 'AHs1', 'W', '08:00', 'AM', '-', '09:00', 'AM', 'OAT901', '0']
['152.', 'ARC343', '1', 'Mun', 'MW', '12:40', 'PM', '-', '01:40', 'PM', 'LIB907', '0']
['153.', 'ARC344', '2', 'HUR', 'R', '12:40', 'PM', '-', '02:50', 'PM', 'LIB907', '0']
['154.', 'ARC384', '1', 'TvM', 'MW', '04:10', 'PM', '-', '05:10', 'PM', 'LIB907', '14']
['155.', 'ARC410', '1', 'SJd', 'MW', '12:40', 'PM', '-', '01:40', 'PM', 'OAT901', '5']
['156.', 'ARC418', '1', 'SIK3', 'STWR', '09:10', 'AM', '-', '11:20', 'AM', 'OAT1003', '5']
['157.', 'ARC419', '1', 'Mfn', 'STWR', '09:10', 'AM', '-', '11:20', 'AM', 'OAT1002', '0']
['158.', 'ARC437', '1', 'HUR', 'S', '08:00', 'AM', '-', '09:00', 'AM', 'OAT901', '9']
['159.', 'ARC445', '1', 'SIK3', 'T', '12:40', 'PM', '-', '01:40', 'PM', 'SAC210', '5']
['160.', 'ARC453', '1', 'NAw', 'MW', '08:00', 'AM', '-', '09:00', 'AM', 'SAC202', '6']
['161.', 'ARC456', '1', 'NAw', 'ST', '08:00', 'AM', '-', '09:00', 'AM', 'SAC801A', '0']
['162.', 'ARC492', '2', 'NAw', 'R', '08:00', 'AM', '-', '09:00', 'AM', 'OAT901', '9']
['163.', 'ARC500', '3', 'HUR', 'R', '12:40', 'PM', '-', '01:40', 'PM', 'TBA', '0']
['164.', 'ARC500', '4', 'HUR', 'R', '12:40', 'PM', '-', '01:40', 'PM', 'TBA_V', '10']
['165.', 'ARC510', '3', 'MTm2', 'STR', '09:10', 'AM', '-', '11:20', 'AM', 'LIB913_V', '0']
['166.', 'ARC519', '3', 'IsH', 'STR', '09:10', 'AM', '-', '11:20', 'AM', 'LIB903', '0']
['167.', 'ARC519', '4', 'RMY', 'STR', '09:10', 'AM', '-', '11:20', 'AM', 'LIB903_V', '2']
['168.', 'ARC535', '1', 'AHs1', 'S', '01:50', 'PM', '-', '02:50', 'PM', 'LIB908', '9']
['169.', 'ARC576', '1', 'ASAA', 'ST', '08:00', 'AM', '-', '09:00', 'AM', 'LIB908', '1']
['170.', 'ARC596', '3', 'Mzc', 'STR', '09:10', 'AM', '-', '11:20', 'AM', 'OAT1001', '4']
['171.', 'ARC598', '1', 'Mfn', 'R', '12:40', 'PM', '-', '02:50', 'PM', 'LIB908', '0']
['172.', 'BBT203', '1', 'PyN', 'ST', '09:10', 'AM', '-', '10:10', 'AM', 'NAC512', '0']
['173.', 'BBT203', '2', 'PyN', 'ST', '10:20', 'AM', '-', '11:20', 'AM', 'NAC512', '0']
['174.', 'BBT221', '1', 'AIq', 'MW', '03:00', 'PM', '-', '04:00', 'PM', 'SAC406', '0']
['175.', 'BBT221', '2', 'AIq', 'MW', '04:10', 'PM', '-', '05:10', 'PM', 'SAC404', '0']
['176.', 'BBT230', '1', 'PyN', 'MW', '10:20', 'AM', '-', '11:20', 'AM', 'NAC512', '1']
['177.', 'BBT230', '2', 'PyN', 'MW', '11:30', 'AM', '-', '12:30', 'PM', 'NAC512', '0']
['178.', 'BBT312', '1', 'MSH3', 'ST', '08:00', 'AM', '-', '09:00', 'AM', 'SAC405', '0']
['179.', 'BBT312', '2', 'MSH3', 'ST', '10:20', 'AM', '-', '11:20', 'AM', 'SAC406', '0']
['180.', 'BBT312L', '1', 'IJn', 'S', '03:00', 'PM', '-', '05:10', 'PM', 'SAC412', '0']
['181.', 'BBT312L', '2', 'IJn', 'T', '03:00', 'PM', '-', '05:10', 'PM', 'SAC412_V', '0']
['182.', 'BBT312L', '3', 'IJn', 'W', '03:00', 'PM', '-', '05:10', 'PM', 'SAC412_V3', '0']
['183.', 'BBT314', '1', 'KNH', 'ST', '11:30', 'AM', '-', '12:30', 'PM', 'SAC405', '0']
['184.', 'BBT314', '2', 'KNH', 'ST', '01:50', 'PM', '-', '02:50', 'PM', 'SAC404', '0']
['185.', 'BBT314L', '1', 'AIq', 'M', '10:20', 'AM', '-', '12:30', 'PM', 'SAC414_V3', '1']
['186.', 'BBT314L', '2', 'AIq', 'M', '12:40', 'PM', '-', '02:50', 'PM', 'SAC414_v2', '0']
['187.', 'BBT314L', '3', 'AIq', 'M', '12:40', 'PM', '-', '02:50', 'PM', 'SAC414_V3', '1']
['188.', 'BBT315', '1', 'IJn', 'ST', '09:10', 'AM', '-', '10:10', 'AM', 'SAC405', '0']
